source,target,weight
4,355,0.03577119
4,1143,0.019030228
4,125,0.00940678
4,364,0.031876314
4,542,0.04080295
4,884,0.012327739
4,384,0.01107528
4,337,0.01281906
4,161,0.027918434
4,588,0.02861901
4,490,0.053592872
4,470,0.041444942
4,176,0.050608244
4,275,0.0075071994
4,358,0.028773805
4,1036,0.011926438
4,880,0.030601973
4,518,0.024292495
4,759,0.010613848
4,566,0.036824293
4,60,0.042953197
4,257,0.035857283
4,326,0.07078647
4,338,0.016718546
4,369,0.15550606
4,398,0.022999188
4,483,0.073462956
4,506,0.04917129
4,768,0.013066718
4,786,0.02608187
4,837,0.04336995
4,952,0.03897478
4,996,0.028633207
4,1010,0.013066717
4,1071,0.038974788
4,1109,0.038974788
5,272,0.04430167
5,218,0.06841842
5,527,0.04661695
5,638,0.013370593
5,848,0.044661164
5,416,0.038514156
5,1150,0.014380434
5,698,0.014380434
5,266,0.06081761
5,180,0.16804448
5,260,0.14228296
5,806,0.033553805
5,1134,0.032741435
5,601,0.033553805
5,1050,0.0311678
5,497,0.02341693
6,230,0.04396762
6,32,0.044365592
6,206,0.025205705
6,722,0.02396742
6,184,0.057322912
6,544,0.05696114
6,55,0.027630707
6,767,0.008600005
6,532,0.03195458
6,595,0.00985312
6,774,0.020287942
6,561,0.08513864
6,510,0.044928696
6,750,0.0079821525
6,553,0.017576747
6,136,0.046654988
6,990,0.015440846
6,913,0.0014292955
6,926,0.0027000462
6,468,0.021061704
7,164,0.014846592
7,982,0.00750805
7,685,0.0022694038
7,196,0.03211358
7,402,0.020612068
7,436,0.015693072
7,123,0.021071365
7,755,0.01152436
7,37,0.017167365
7,314,0.019280853
7,732,0.00331351
7,110,0.051544152
7,583,0.007411206
7,1053,0.0049449005
7,1029,0.007049822
7,1129,0.0011721868
7,1067,0.0049249837
7,498,0.0485606
7,1128,0.010245825
7,114,0.03064818
7,92,0.028080566
7,213,0.02518793
7,245,0.03725968
7,304,0.044458527
7,324,0.03977391
7,375,0.04057546
7,383,0.039035488
7,418,0.0039215954
